Exporter_ID,Industry,Date,Quantity_Tons,Manufacturing_Capacity_Tons,Intent_Score,War_Risk,Natural_Calamity_Risk,StockMarket_Impact,Currency_Shift,Tariff_Impact
EXP_0045,Electronics,2024-01-01,4350,5855,0.5972162991350899,0,3,0.531717287769484,0.20149910146516603,0.08661976085469403
EXP_0614,Pharma,2025-11-01,2480,3722,0.500582328180845,1,1,0.8176529954337246,-0.44967706706533606,0.9623653164545284
EXP_0176,Pharma,2024-06-01,1466,2060,0.6585784346347502,0,3,0.0257494846105355,0.176820043630047,0.8570290283305779
EXP_0872,Pharma,2024-02-01,4373,5765,0.5085648256746026,3,2,0.3755384127314696,-0.45221863531859463,0.4241850557459762
EXP_0030,Chemicals,2024-03-01,1618,2380,0.49958847077511725,3,0,-0.7237494137195055,0.33637857741039934,0.38646256432793524
EXP_0314,Pharma,2022-08-01,1750,2481,0.6723786073242887,0,0,0.550469077798112,0.35158140001723737,0.9084101072685695
EXP_0340,Textiles,2023-07-01,4049,5957,0.23851677493397877,3,3,-0.27499603093697367,-0.05191451271692349,0.7687641807211604
EXP_0468,Chemicals,2025-01-01,3670,5304,0.8975079352277566,3,1,0.5535968744172615,0.01836546333532063,0.5335544335535795
EXP_0203,Steel,2025-03-01,4789,5735,0.7718083782821029,1,2,-0.7787928022536783,0.06949725851857591,0.11324345163981986
EXP_0829,Auto Parts,2022-10-01,1119,3119,0.7126696271708776,2,2,-0.2580525748156619,-0.33572955054407194,0.5791298040350491
EXP_0901,Auto Parts,2023-12-01,4614,5958,0.5853994772005976,3,3,0.6876257273166122,0.029533615022457438,0.127408071695429
EXP_0608,Pharma,2024-11-01,4679,6276,0.5079958781222575,1,2,0.29736590671472896,0.01226056387626051,0.753813712978369
EXP_0652,Textiles,2024-02-01,4360,6324,0.5341491073693156,2,2,-0.33565495587653493,0.1974316172371925,0.5598905318457854
EXP_0389,Steel,2025-06-01,3723,4596,0.5605531794328983,1,0,-0.546042921056958,0.17341972891143265,0.6491539648308727
EXP_0760,Textiles,2022-05-01,1941,2747,0.8119251085154837,3,3,-0.1432963988623075,0.22455790915881824,0.3641210568415054
EXP_0238,Textiles,2023-04-01,3656,4940,0.48548529897749926,2,0,-0.9988041223304094,0.12675334854233122,0.736794568710197
EXP_0046,Textiles,2023-02-01,1372,1907,0.761421946896002,2,0,0.3833113037330831,-0.0406563444060436,0.6691541555348508
EXP_0394,Textiles,2023-01-01,4959,6770,0.5766267788506345,1,3,0.9231014642751325,-0.25171252036915404,0.4271124464193341
EXP_0227,Steel,2023-12-01,1811,2459,0.6045286180815233,1,2,0.9842712789571655,0.23743144142712214,0.9057567906364479
EXP_0704,Pharma,2023-12-01,1607,2959,0.4472625533507658,1,1,0.0038908102636834307,0.0441260019631009,0.11975996643219722
EXP_0621,Electronics,2022-07-01,4110,5221,0.587492358708856,0,1,-0.5484208956987418,0.3360789007952809,0.5809685866315925
EXP_0949,Auto Parts,2025-06-01,1514,2949,0.7428897591973359,0,1,0.3246358270791647,-0.11639095964484159,0.9614175778465733
EXP_0103,Auto Parts,2023-12-01,3174,4021,0.45198209313906823,0,0,-0.3741609039423548,0.31949568538605233,0.7941345617322724
EXP_0582,Chemicals,2025-05-01,4499,5658,0.37273569855665245,1,0,-0.36392077661096023,-0.4479762449705531,0.9074631763464255
EXP_0383,Steel,2024-09-01,3542,4231,0.4052809672418054,3,1,0.4758555379976006,0.46583666880758356,0.04846423247582232
EXP_0644,Pharma,2024-12-01,1516,3221,0.6746227885958487,3,0,-0.7326086912011276,-0.38366827286673877,0.7800840237349648
EXP_0289,Auto Parts,2024-12-01,2574,3619,0.5901678589828493,3,0,-0.664866921390987,-0.4293033918156338,0.2135374778839514
EXP_0332,Pharma,2023-09-01,2139,3087,0.3881196354868496,0,2,-0.23575301108005364,-0.28923690057009377,0.503072600271609
EXP_0618,Chemicals,2025-08-01,1291,2431,0.40710678394277605,0,1,-0.631910455899573,0.24335289557001238,0.5183239230398234
EXP_0736,Textiles,2025-09-01,1161,2288,0.8386357357356776,0,0,-0.056747269609476625,0.0908662673951145,0.4301759084443132
EXP_0102,Chemicals,2022-08-01,594,2396,0.7169350090860572,0,2,0.8914994044518603,0.0727702766869458,0.7563560547436343
EXP_0118,Textiles,2022-12-01,2765,4277,0.7908731169898109,3,0,0.6728843849397395,0.17619574635653923,0.2511920046044672
EXP_0524,Pharma,2025-08-01,2204,3645,0.615796398131863,3,2,0.004743639944190914,-0.008071975960870725,0.6770937847836443
EXP_0997,Auto Parts,2024-02-01,4645,6599,0.5427713791212642,1,3,-0.7913738252962357,-0.24964127042914452,0.7012933420883841
EXP_0501,Electronics,2022-04-01,1413,3373,0.4902729894155505,0,2,0.8452075141879156,0.3665956885955035,0.6636247207672996
EXP_0181,Auto Parts,2024-09-01,841,1578,0.6959680997693306,3,3,0.8413828015572391,-0.35613203365667023,0.29119645499662417
EXP_0990,Chemicals,2022-11-01,509,1490,0.5653634619477667,0,0,-0.12997081131955324,-0.1346331584493472,0.6404832931422122
EXP_0955,Auto Parts,2025-09-01,4354,6253,0.4529608235553735,1,0,-0.45066826042418917,-0.28230020114276755,0.5694823881365918
EXP_0422,Pharma,2022-08-01,2924,4366,0.6858139167607382,1,0,0.09139193762605169,-0.09964337316016936,0.5313399532366091
EXP_0132,Chemicals,2024-11-01,3556,4890,0.6343473637591617,2,1,-0.27403431919225674,0.3508527573220954,0.34562703703615894
EXP_0887,Steel,2023-05-01,3791,4481,0.5192944135293867,0,2,0.15308997990228002,-0.3430973758538799,0.3677085081275432
EXP_0785,Steel,2024-07-01,4976,5862,0.9042943386404809,2,2,0.9975858716313091,-0.14057617316918292,0.7028664440501013
EXP_0313,Auto Parts,2023-08-01,3354,4095,0.5405006760267124,0,0,-0.23676700178173005,0.45974572146196924,0.931490386918926
EXP_0371,Steel,2023-12-01,890,2310,0.6805636249591716,3,2,0.09335452979462344,-0.3354339415706651,0.48306624519330266
EXP_0746,Pharma,2024-01-01,658,1223,0.6637449174371317,1,2,-0.07928925373034623,-0.292488504615121,0.2078238414588358
EXP_0909,Electronics,2023-11-01,954,2920,0.8002354871765166,0,2,0.24046969792224093,-0.015786860652358348,0.25602117306151306
EXP_0323,Steel,2025-10-01,4960,6404,0.7911887812940273,0,1,0.6165364224325565,0.018015348908519746,0.909005588835703
EXP_0291,Electronics,2025-04-01,4763,5856,0.8353167906154273,0,2,0.006690261212308091,0.03479946628119246,0.4050010985875484
EXP_0108,Chemicals,2024-11-01,4606,5469,0.5354765046612244,0,0,0.3554464824026409,-0.47339163392231587,0.8985969105689701
EXP_0952,Textiles,2022-06-01,3688,4452,0.799630077055075,1,3,-0.6872757167102499,0.10379275728611803,0.10935590310947885
EXP_0058,Textiles,2023-02-01,2363,3818,0.5077840702264622,3,1,0.4904294853816691,-0.1447160257630774,0.11750184021237331
EXP_0198,Chemicals,2024-08-01,785,1412,0.563787838436969,2,0,0.024785641464213137,0.12873401505999293,0.9437741203448161
EXP_0120,Chemicals,2024-09-01,3505,4464,0.5306855972022902,0,3,-0.6216084152192902,0.462732583861139,0.1349784860716421
EXP_0764,Pharma,2022-03-01,4509,5016,0.7582828276996564,0,3,0.523779788754968,-0.014733257657378429,0.27470503280714365
EXP_0013,Auto Parts,2024-12-01,509,1670,0.561511810472674,2,1,-0.9597243021014203,-0.11494194428103832,0.5218308753051893
EXP_0655,Auto Parts,2022-03-01,4933,6526,0.6023711316167759,0,2,0.8588069676983077,0.43748117239910467,0.17641191042788618
EXP_0315,Electronics,2022-07-01,1833,3121,0.5444114215391322,2,3,-0.31481783437773636,0.3637896229650033,0.7812906474056922
EXP_0946,Textiles,2025-04-01,1504,2937,0.6560239904102584,2,0,0.38584045844957715,-0.3051595083446359,0.4036466944934778
EXP_0988,Textiles,2022-02-01,4476,6034,0.4942697319276764,0,1,0.27792604394656917,-0.47518278855485085,0.5853754227909563
EXP_0246,Chemicals,2023-07-01,2420,3043,0.5801224980687155,0,2,-0.1652104353417041,-0.4830872000783927,0.729240249097568
EXP_0982,Textiles,2022-11-01,2345,4172,0.5273056853994054,1,0,0.6686495914987971,-0.27433541694794494,0.3693826475825851
EXP_0767,Steel,2025-01-01,1769,3589,0.7522842137497608,3,3,0.07108494619559647,-0.056872654677085466,0.9137274940064593
EXP_0378,Chemicals,2025-06-01,1326,2661,0.4508729861397319,2,2,-0.34432360229993186,0.4845758963761131,0.3793655982041866
EXP_0959,Steel,2023-10-01,872,2192,0.3517907585385004,3,3,0.7780012216293317,-0.4741610277799888,0.8503177081575989
EXP_0309,Electronics,2024-09-01,4350,5421,0.3893153614395537,2,1,-0.7176018729256302,0.23603540042606552,0.448851365652003
EXP_0363,Electronics,2022-03-01,4493,6336,0.5406256828902506,1,1,-0.03227956227137718,0.04294044448932777,0.19957161589593875
EXP_0749,Steel,2023-01-01,2571,4191,0.6158624219166529,0,2,-0.899649299360052,-0.06788376319807066,0.2835071902709394
EXP_0319,Auto Parts,2025-12-01,2285,3586,0.7456411997065291,2,3,0.8761282791362626,-0.4913809974082197,0.2751902117734757
EXP_0282,Chemicals,2022-03-01,4424,5623,0.5267704504151629,2,0,-0.4316314085765425,0.34294548245619716,0.48222523033732656
EXP_0781,Auto Parts,2025-04-01,4505,6296,0.19728179293237613,0,2,0.15965915209545,-0.47070055689658163,0.9489162181887151
EXP_0220,Textiles,2024-08-01,2990,4766,0.5963958212879094,1,3,-0.07853279951665226,-0.062234945011871545,0.9992072989434408
EXP_0737,Steel,2022-05-01,811,1914,0.43454648167942533,0,1,-0.54503679261292,0.1527281237772241,0.8750086997439702
EXP_0277,Auto Parts,2025-05-01,3157,4328,0.4712325089437971,0,0,0.8695910349855667,-0.44337444262244197,0.13088113855357597
