Buyer_ID,Industry,Date,Country,Avg_Order_Tons,Intent_Score,Good_Payment_History,Engagement_Spike,War_Event,Natural_Calamity,StockMarket_Shock,Currency_Fluctuation,Tariff_News
BUY_0216,Chemicals,2023-07-01,"Norwich, UK",1266,0.6632900568260265,1,0,3,3,0.8845223473171222,0.19859828672703927,0.5011666285631721
BUY_0102,Chemicals,2024-07-01,"Mainz, Germany",742,0.29194233065714037,1,0,3,0,0.7965181673496489,-0.01850632145060571,0.4218583923674969
BUY_0661,Auto Parts,2023-03-01,"Tampines, Singapore",1371,0.47329185438481386,0,0,3,0,0.010670641954286797,-0.1829112127258744,0.8869339297092035
BUY_0335,Steel,2023-03-01,"Nagasaki, Japan",3333,0.5022708780351367,0,0,3,2,-0.007934220117170376,-0.4202029534405426,0.8747265052212082
BUY_0400,Textiles,2022-02-01,"Takayama, Japan",2587,0.453987696224332,1,1,3,3,-0.727544443363102,0.30356760140031014,0.17064358875210528
BUY_0518,Pharma,2023-09-01,"Ajman, UAE",1747,0.5440289285692504,1,0,2,1,-0.3718190895328439,0.24378093014485613,0.4814629176373849
BUY_0953,Steel,2025-06-01,"Reims, France",1343,0.7120711848039905,1,0,0,1,0.4580752476403769,0.10849108656361683,0.9989429619805178
BUY_0807,Electronics,2025-08-01,"Swansea, UK",1673,0.4562967138472068,1,0,0,3,0.30667984883762167,-0.2616075578109902,0.9247395651994635
BUY_0511,Auto Parts,2025-05-01,"Nantes, France",3794,0.4903687610229734,1,0,0,0,0.815261906669414,0.12130208917209884,0.5785754113832238
BUY_0823,Auto Parts,2023-10-01,"Savannah, USA",733,0.7832135390087928,1,1,3,3,0.8190771398267773,0.4917863552879298,0.7556077135017982
BUY_0025,Auto Parts,2024-01-01,"Fujairah, UAE",1086,0.6819853744293384,1,0,2,2,0.795662159202839,-0.4824100837874754,0.23515557000841703
BUY_0064,Textiles,2022-09-01,"Geelong, Australia",1063,0.7979132681722308,1,0,3,1,0.7289538072356565,-0.056066350296887446,0.9899231424207284
BUY_0238,Textiles,2025-10-01,"Salem, USA",3857,0.8137078245475571,1,0,2,3,0.18831871575930292,0.18398033256018942,0.1241601865478108
BUY_0587,Steel,2025-08-01,"Saskatoon, Canada",1850,0.48248253886494075,1,1,3,0,-0.7683902213051845,-0.4168382668675351,0.5314674959574129
BUY_0716,Pharma,2023-08-01,"Halifax, Canada",1689,0.760636941506188,1,0,1,0,0.1133913416417065,-0.04228594850176748,0.32820175053761746
BUY_0306,Chemicals,2025-09-01,"Matsue, Japan",2503,0.6768441465756388,0,0,3,0,0.23271264719804985,0.08738359526864714,0.01872471379439067
BUY_0742,Textiles,2022-03-01,"Ras Al Khaimah, UAE",2477,0.7727657204080309,1,0,0,2,-0.05598503576534131,0.22652619360992288,0.11183980484161238
BUY_0015,Electronics,2025-07-01,"Rostock, Germany",379,0.7217993363031198,1,1,3,0,-0.5989809528982251,0.44894013128426,0.2421721230472771
BUY_0952,Textiles,2023-06-01,"Kassel, Germany",1412,0.7515103530890419,0,0,2,1,-0.14059838591368035,-0.001375536733716487,0.05566614605619913
BUY_0080,Pharma,2024-06-01,"Cairns, Australia",916,0.37996410819721205,0,0,2,3,-0.08490918525317581,-0.40681121402768716,0.22973465411852856
BUY_0204,Chemicals,2023-05-01,"Hakodate, Japan",3529,0.5619211384282393,1,1,0,2,-0.6916879007493171,0.49652207192467235,0.7839607870610179
BUY_0922,Textiles,2025-04-01,"Woodlands, Singapore",392,0.5829771913745054,1,0,1,3,0.9855740365271728,0.1239070328578965,0.046777150190113304
BUY_0686,Pharma,2022-08-01,"Swansea, UK",2759,0.6344452972610738,1,0,2,2,0.5151676654381148,0.07275325924816256,0.14772830585057428
BUY_0963,Electronics,2025-04-01,"Reims, France",3431,0.5408784600970656,1,0,0,2,-0.9870238324389471,-0.230363834783324,0.17181617830127693
BUY_0830,Pharma,2025-03-01,"Savannah, USA",961,0.6373398158940401,1,0,0,0,0.9881239667662207,-0.35137586953009503,0.5747092028675753
BUY_0262,Textiles,2023-07-01,"Victoria, Canada",916,1.0,1,0,0,1,0.21746096516969726,-0.008206019937343156,0.6449637707451962
BUY_0818,Pharma,2024-10-01,"Hobart, Australia",2942,0.6505514701348486,0,1,3,1,-0.1006766737741549,-0.038471041459948285,0.03798222096019521
BUY_0674,Pharma,2023-01-01,"Kanazawa, Japan",388,0.7331866329377627,1,0,2,1,0.16893986328922606,0.47732030511297674,0.737025905790354
BUY_0427,Auto Parts,2023-08-01,"Woodlands, Singapore",993,0.7209964675084124,0,0,0,3,-0.0829024570411998,-0.4574090460296869,0.46712309269313945
BUY_0747,Electronics,2025-02-01,"Swansea, UK",1691,0.8580397963282402,1,0,1,2,-0.5401496729088788,0.1306871883123164,0.0852140869017709
BUY_0065,Steel,2025-11-01,"Norwich, UK",2937,0.7787896854322609,1,0,0,1,-0.42910442560026896,0.09696028684552793,0.27887084899122305
BUY_0069,Electronics,2025-02-01,"Nagasaki, Japan",1574,0.6780898321663451,1,0,3,1,0.44941897492875515,-0.24008352614227635,0.033196315065561754
BUY_0185,Steel,2025-03-01,"Kelowna, Canada",3542,0.6656136728584402,1,0,0,2,0.6174307937708794,-0.4085834508854823,0.5461545912071964
BUY_0521,Steel,2025-11-01,"Nantes, France",1559,0.646392390482039,0,1,0,0,-0.5910973475349399,-0.07269395676551005,0.5335076625164867
BUY_0362,Pharma,2024-10-01,"Hakodate, Japan",1045,0.781839008667812,1,1,2,0,-0.04134944445696909,-0.46781559678459783,0.16551973560490962
BUY_0172,Textiles,2023-08-01,"Ajman, UAE",2619,0.307438169751389,1,0,0,1,-0.4313121803604134,0.13370974342311093,0.13837086181363822
BUY_0271,Auto Parts,2023-05-01,"Saskatoon, Canada",222,0.8018224451825879,1,1,2,3,-0.947884228028814,0.014776422000453593,0.45777935126563984
BUY_0440,Pharma,2022-08-01,"Salem, USA",391,0.5793558176613838,1,1,3,1,-0.13008178729756636,0.38260562372884155,0.9574905310212211
BUY_0711,Electronics,2025-11-01,"Ulm, Germany",3796,0.6241673938284267,1,0,2,0,-0.6478659279246848,-0.2633446205202862,0.8459619526959559
BUY_0012,Chemicals,2023-01-01,"Inverness, UK",1583,0.36893834040744783,0,1,0,0,0.6840775672110424,-0.34532469687208733,0.35917265055930025
BUY_0150,Chemicals,2024-03-01,"Geelong, Australia",242,0.7014157393942247,1,0,3,3,-0.06965260668672335,0.3725665183579634,0.6697458074256392
BUY_0159,Electronics,2025-03-01,"Ajman, UAE",1798,0.6464297895456357,1,1,0,1,0.6961893276022428,0.04519082909029648,0.8384826905658241
BUY_0509,Steel,2025-12-01,"Santos, Brazil",3431,0.44009424556719096,0,1,1,1,0.06980956837958985,0.35304066211651,0.2793563232407599
BUY_0989,Steel,2024-02-01,"Victoria, Canada",324,0.6642491121254134,1,0,2,1,0.9180168872174523,-0.3449063937289977,0.9265455414356274
